rate_date,currency,rate_to_gbp
2023-01-01,GBP,1.007642
2023-01-01,USD,1.266085
2023-01-01,EUR,1.169575
2023-01-01,SGD,1.69261
2023-01-01,AED,4.675106
2023-01-01,CAD,1.737771
2023-01-02,GBP,1.006001
2023-01-02,USD,1.280149
2023-01-02,EUR,1.181709
2023-01-02,SGD,1.714736
2023-01-02,AED,4.636491
2023-01-02,CAD,1.735821
2023-01-03,GBP,1.005471
2023-01-03,USD,1.270161
2023-01-03,EUR,1.171503
2023-01-03,SGD,1.696173
2023-01-03,AED,4.601547
2023-01-03,CAD,1.737152
2023-01-04,GBP,1.002874
2023-01-04,USD,1.272563
2023-01-04,EUR,1.176055
2023-01-04,SGD,1.698834
2023-01-04,AED,4.646541
2023-01-04,CAD,1.728511
2023-01-05,GBP,0.996677
2023-01-05,USD,1.274086
2023-01-05,EUR,1.18493
2023-01-05,SGD,1.693308
2023-01-05,AED,4.656489
2023-01-05,CAD,1.729317
2023-01-06,GBP,1.000352
2023-01-06,USD,1.268944
2023-01-06,EUR,1.175503
2023-01-06,SGD,1.69393
2023-01-06,AED,4.684354
2023-01-06,CAD,1.720096
2023-01-07,GBP,0.996727
2023-01-07,USD,1.26436
2023-01-07,EUR,1.16539
2023-01-07,SGD,1.704228
2023-01-07,AED,4.632646
2023-01-07,CAD,1.727224
2023-01-08,GBP,1.000232
2023-01-08,USD,1.266899
2023-01-08,EUR,1.172781
2023-01-08,SGD,1.708031
2023-01-08,AED,4.673887
2023-01-08,CAD,1.740423
2023-01-09,GBP,0.995274
2023-01-09,USD,1.268347
2023-01-09,EUR,1.175027
2023-01-09,SGD,1.689266
2023-01-09,AED,4.642432
2023-01-09,CAD,1.732702
2023-01-10,GBP,0.99172
2023-01-10,USD,1.260078
2023-01-10,EUR,1.181944
2023-01-10,SGD,1.678198
2023-01-10,AED,4.663756
2023-01-10,CAD,1.726198
2023-01-11,GBP,0.995919
2023-01-11,USD,1.262902
2023-01-11,EUR,1.164185
2023-01-11,SGD,1.705267
2023-01-11,AED,4.660579
2023-01-11,CAD,1.710199
2023-01-12,GBP,1.00439
2023-01-12,USD,1.274034
2023-01-12,EUR,1.168685
2023-01-12,SGD,1.69893
2023-01-12,AED,4.65396
2023-01-12,CAD,1.738755
2023-01-13,GBP,1.000934
2023-01-13,USD,1.276891
2023-01-13,EUR,1.167169
2023-01-13,SGD,1.703811
2023-01-13,AED,4.648207
2023-01-13,CAD,1.730847
2023-01-14,GBP,1.010848
2023-01-14,USD,1.267157
2023-01-14,EUR,1.160741
2023-01-14,SGD,1.708194
2023-01-14,AED,4.649044
2023-01-14,CAD,1.716373
2023-01-15,GBP,1.004839
2023-01-15,USD,1.270294
2023-01-15,EUR,1.170779
2023-01-15,SGD,1.706849
2023-01-15,AED,4.673283
2023-01-15,CAD,1.725346
2023-01-16,GBP,1.004699
2023-01-16,USD,1.260396
2023-01-16,EUR,1.16626
2023-01-16,SGD,1.703227
2023-01-16,AED,4.679522
2023-01-16,CAD,1.724747
2023-01-17,GBP,1.002872
2023-01-17,USD,1.270357
2023-01-17,EUR,1.162409
2023-01-17,SGD,1.711113
2023-01-17,AED,4.673435
2023-01-17,CAD,1.719407
2023-01-18,GBP,0.993557
2023-01-18,USD,1.283819
2023-01-18,EUR,1.174349
2023-01-18,SGD,1.699715
2023-01-18,AED,4.675033
2023-01-18,CAD,1.729062
2023-01-19,GBP,0.994218
2023-01-19,USD,1.260603
2023-01-19,EUR,1.172435
2023-01-19,SGD,1.689412
2023-01-19,AED,4.682855
2023-01-19,CAD,1.738908
2023-01-20,GBP,1.003058
2023-01-20,USD,1.269444
2023-01-20,EUR,1.175819
2023-01-20,SGD,1.69419
2023-01-20,AED,4.650143
2023-01-20,CAD,1.731518
2023-01-21,GBP,1.001872
2023-01-21,USD,1.262863
2023-01-21,EUR,1.163054
2023-01-21,SGD,1.689056
2023-01-21,AED,4.678064
2023-01-21,CAD,1.719864
2023-01-22,GBP,0.999592
2023-01-22,USD,1.278041
2023-01-22,EUR,1.173746
2023-01-22,SGD,1.698182
2023-01-22,AED,4.680822
2023-01-22,CAD,1.735131
2023-01-23,GBP,0.995375
2023-01-23,USD,1.263831
2023-01-23,EUR,1.179034
2023-01-23,SGD,1.702318
2023-01-23,AED,4.668288
2023-01-23,CAD,1.728323
2023-01-24,GBP,0.993913
2023-01-24,USD,1.277043
2023-01-24,EUR,1.174387
2023-01-24,SGD,1.706836
2023-01-24,AED,4.645132
2023-01-24,CAD,1.72401
2023-01-25,GBP,1.000689
2023-01-25,USD,1.283537
2023-01-25,EUR,1.167895
2023-01-25,SGD,1.710071
2023-01-25,AED,4.661209
2023-01-25,CAD,1.745047
2023-01-26,GBP,1.001926
2023-01-26,USD,1.259385
2023-01-26,EUR,1.167468
2023-01-26,SGD,1.694262
2023-01-26,AED,4.690047
2023-01-26,CAD,1.725171
2023-01-27,GBP,0.995754
2023-01-27,USD,1.263615
2023-01-27,EUR,1.175164
2023-01-27,SGD,1.705702
2023-01-27,AED,4.650864
2023-01-27,CAD,1.727667
2023-01-28,GBP,0.997852
2023-01-28,USD,1.283191
2023-01-28,EUR,1.175703
2023-01-28,SGD,1.705464
2023-01-28,AED,4.631348
2023-01-28,CAD,1.74263
2023-01-29,GBP,0.995504
2023-01-29,USD,1.274676
2023-01-29,EUR,1.172265
2023-01-29,SGD,1.700457
2023-01-29,AED,4.668981
2023-01-29,CAD,1.729126
2023-01-30,GBP,0.998139
2023-01-30,USD,1.264312
2023-01-30,EUR,1.165026
2023-01-30,SGD,1.717118
2023-01-30,AED,4.665276
2023-01-30,CAD,1.724918
2023-01-31,GBP,1.003131
2023-01-31,USD,1.270254
2023-01-31,EUR,1.162712
2023-01-31,SGD,1.695235
2023-01-31,AED,4.722369
2023-01-31,CAD,1.734636
2023-02-01,GBP,1.005747
2023-02-01,USD,1.269713
2023-02-01,EUR,1.164451
2023-02-01,SGD,1.692981
2023-02-01,AED,4.680869
2023-02-01,CAD,1.741939
2023-02-02,GBP,1.002931
2023-02-02,USD,1.26815
2023-02-02,EUR,1.171241
2023-02-02,SGD,1.700339
2023-02-02,AED,4.64664
2023-02-02,CAD,1.729633
2023-02-03,GBP,1.001655
2023-02-03,USD,1.267672
2023-02-03,EUR,1.171074
2023-02-03,SGD,1.70741
2023-02-03,AED,4.667098
2023-02-03,CAD,1.743702
2023-02-04,GBP,1.003667
2023-02-04,USD,1.268151
2023-02-04,EUR,1.155619
2023-02-04,SGD,1.70243
2023-02-04,AED,4.642874
2023-02-04,CAD,1.73892
2023-02-05,GBP,0.997727
2023-02-05,USD,1.280096
2023-02-05,EUR,1.162988
2023-02-05,SGD,1.700269
2023-02-05,AED,4.647657
2023-02-05,CAD,1.733332
2023-02-06,GBP,1.003547
2023-02-06,USD,1.278567
2023-02-06,EUR,1.17361
2023-02-06,SGD,1.695509
2023-02-06,AED,4.635889
2023-02-06,CAD,1.737141
2023-02-07,GBP,1.000446
2023-02-07,USD,1.264542
2023-02-07,EUR,1.173968
2023-02-07,SGD,1.679728
2023-02-07,AED,4.611888
2023-02-07,CAD,1.731368
2023-02-08,GBP,0.992643
2023-02-08,USD,1.274854
2023-02-08,EUR,1.173287
2023-02-08,SGD,1.689132
2023-02-08,AED,4.64072
2023-02-08,CAD,1.724281
2023-02-09,GBP,0.995585
2023-02-09,USD,1.267484
2023-02-09,EUR,1.168567
2023-02-09,SGD,1.697706
2023-02-09,AED,4.663034
2023-02-09,CAD,1.731967
2023-02-10,GBP,0.993369
2023-02-10,USD,1.269398
2023-02-10,EUR,1.167045
2023-02-10,SGD,1.715324
2023-02-10,AED,4.623028
2023-02-10,CAD,1.712283
2023-02-11,GBP,0.999261
2023-02-11,USD,1.271254
2023-02-11,EUR,1.172202
2023-02-11,SGD,1.706787
2023-02-11,AED,4.665572
2023-02-11,CAD,1.722127
2023-02-12,GBP,1.006565
2023-02-12,USD,1.274094
2023-02-12,EUR,1.162945
2023-02-12,SGD,1.710649
2023-02-12,AED,4.674673
2023-02-12,CAD,1.735266
2023-02-13,GBP,1.004455
2023-02-13,USD,1.270388
